Date,Calories (kcal),Distance (m),Step count,Move Minutes count,Heart Points,Heart Minutes,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Aerobics duration (ms),Badminton duration (ms),Calisthenics duration (ms),Circuit training duration (ms),Elliptical duration (ms),Jogging duration (ms),Treadmill running duration (ms),Strength training duration (ms),CrossFit duration (ms),High intensity interval training duration (ms),Active Minutes,Inactive Minutes
01-06-2017,1487.210572,1043.213168,2691,,,,510983,67840326,2183665,,,,,,,,,,,,45,1131
02-06-2017,1591.538009,3384.229654,6474,,,,,70703175,5205292,,,,,,,,,,,,87,1178
03-06-2017,1633.665566,5793.499975,9088,,,,,54265228,6204146,,,,,,,,,,,,103,904
04-06-2017,1603.330288,5068.664579,7985,,,,476882,61673960,4540019,150045,,,,,,,,,,,86,1028
05-06-2017,1422.337,718.6406392,1728,,,,,73646858,1193503,,,,,,,,,,,,20,1227
06-06-2017,1393.068712,180.8345714,831,,,,,73381870,499545,,,,,,,,,,,,8,1223
07-06-2017,1378.902355,78.45022964,558,,,,,80610238,163658,,,,,,,,,,,,3,1344
08-06-2017,1459.128363,400.1743045,1328,,,,1100845,63846965,885234,,,,,,,,,,,,33,1064
09-06-2017,1407.059068,346.4793444,1247,,,,,78053694,831258,,,,,,,,,,,,14,1301
10-06-2017,1428.115537,478.779616,1506,,,,,74222331,1330513,,,,,,,,,,,,22,1237
11-06-2017,1665.274687,,8963,,,,,66922512,5625091,567672,,,,,,,,,,,103,1115
12-06-2017,1416.278531,488.3362246,1513,,,,,71363338,1049855,,,,,,,,,,,,17,1189
13-06-2017,1398.492106,308.8591671,1141,,,,,76829083,628135,,,,,,,,,,,,10,1280
14-06-2017,1371.999934,,,,,,,86400000,,,,,,,,,,,,,0,1440
15-06-2017,1409.688467,464.1180999,1153,,,,,69737206,893603,,,,,,,,,,,,15,1162
16-06-2017,1522.150714,1914.434921,4057,,,,492935,74850654,3031459,,,,,,,,,,,,59,1248
17-06-2017,1396.544688,297.2819958,948,,,,,74238359,581961,,,,,,,,,,,,10,1237
18-06-2017,1416.855369,478.1485496,1017,,,,,78236132,1063531,,,,,,,,,,,,18,1304
19-06-2017,1420.949394,763.1454845,1480,,,,,74677937,1160603,,,,,,,,,,,,19,1245
20-06-2017,1504.576165,1002.89943,3012,,,,669524,76579850,2425381,,,,,,,,,,,,52,1276
21-06-2017,1402.704548,479.0134249,1456,,,,,61752812,728012,,,,,,,,,,,,12,1029
